SegmentIndex,Length_m,CumulativeDistance_m
1,3063.5,3063.5
2,60.0,3123.5
3,60.0,3183.5
4,60.0,3243.5
5,60.0,3303.5
6,60.0,3363.5
7,60.0,3423.5
8,60.0,3483.5
9,60.0,3543.5
10,60.0,3603.5
11,60.0,3663.5
12,60.0,3723.5
13,60.0,3783.5
14,60.0,3843.5
15,60.0,3903.5
16,60.0,3963.5
17,60.0,4023.5
18,60.0,4083.5
19,60.0,4143.5
20,60.0,4203.5
21,60.0,4263.5
22,60.0,4323.5
23,60.0,4383.5
24,60.0,4443.5
25,60.0,4503.5
26,60.0,4563.5
27,60.0,4623.5
28,60.0,4683.5
29,60.0,4743.5
30,60.0,4803.5
31,60.0,4863.5
32,60.0,4923.5
33,60.0,4983.5
34,60.0,5043.5
35,60.0,5103.5
36,60.0,5163.5
37,60.0,5223.5
38,60.0,5283.5
39,60.0,5343.5
40,60.0,5403.5
41,60.0,5463.5
42,60.0,5523.5
43,60.0,5583.5
44,60.0,5643.5
45,60.0,5703.5
46,60.0,5763.5
47,60.0,5823.5
48,60.0,5883.5
49,60.0,5943.5
50,3063.5,9007.0
